Date,NameOfThePowerStation,Fuel,Producer,InstalledCapacityUnitNoXCapacity,InstalledCapacityMw,PresentCapacityMw,YesterdayDayPeakMw,YesterdayEvPeakMw,TodayDayPeakMw,TodayEvPeakMw,EvShortageForFuelMw,EvShortageForPlantProblemMw,Remark,ProbableStartUpDate
12/25/2020 ,Natore 52 MW PP (Rajlanka) ,HFO,IPP,52,52,52,0,8,52,52,,,,
12/25/2020 ,Chapainawabganj 100 MW Peaking PP,HFO,PDB,104,104,104,52,77,100,100,,,,
12/25/2020 ,Baghabari 200 MW PP (Paramount),HSD,IPP,200 MW,200,200,0,0,200,200,,,,
12/25/2020 ,Bagura 113 MW PP (Confidence)-2,HFO,IPP,113 MW,113,113,47,111,113,113,,,,
12/25/2020 ,Confidence Power Bogura Unit-1 113 MW,HFO,IPP,6*18.55,113,113,0,60,113,113,,,,
12/25/2020 ,Barapukuria TPP Unit-1 ,Coal,PDB,1*125,125,85,76,75,88,88,,,,
12/25/2020 ,Barapukuria TPP  Unit-2,Coal,PDB,1*125,125,85,0,0,0,0,,85,Under maint.,
12/25/2020 ,Barapukuria 275 MW TPP Unit-3,Coal,PDB,1*275,274,274,0,0,0,0,,274,Under maint.,
12/25/2020 ,Rangpur 20 MW  GTPP,HSD,PDB,1*20,20,20,0,0,0,0,,20,Under maint.,
12/25/2020 ,Saidpur 20 MW GTPP,HSD,PDB,1*20,20,20,0,0,0,0,,20,Engine problem,
12/25/2020 ,Rangpur 113 MW PP (Confidence)  ,HFO,IPP,113 MW,113,113,51,113,113,113,,,,
12/25/2020 ,Sympa Solar Power 8MW,Solar,IPP,8 MW,8,8,5,0,8,0,,,,
